lat;long
-7.021498;110.406658
-7.015;110.4843
-6.9733;110.2936
-7.0403;110.3388
-7.01631;110.432455
-7.0689;110.4282
-7.0867;110.4524
-6.958042;110.438568
-7.24028;110.61222
-7.021498;110.406658
-7.021498;110.406658
-6.9905;110.4047
-6.9872;110.3802
-6.9499;110.4298
-6.9557;110.4786
-7.1159;110.427
-6.9977;110.4492
-7.021498;110.406658
-7.04466;110.475803
-7.021498;110.406658
-7.021498;110.406658
-6.984436;110.426533
-7.057033;110.471576
-6.9797;110.3985
-6.997675;110.366579
-7.0664989553248905;110.3662477402488
-7.021498;110.406658
-7.021498;110.406658
-7.021498;110.406658
-7.02596;110.460264
-6.9754;110.473
-6.97778;110.40734
-7.021498;110.406658
-7.0932;110.3352
-7.094272;110.334039
-7.0202;110.3954
-7.062;110.4106
-6.9737;110.4578
-6.9716;110.4457
-7.072;110.3532
-7.002228;110.431767
-6.980816;110.457521
-6.977;110.4897
-7.0128;110.4662
-7.0674;110.4174
-7.005126;110.447348
-7.044185;110.460021
-7.021498;110.406658
-7.05189;110.393503
-7.0174;110.3593
-6.996493;110.442772
-6.9869;110.4438
-7.021498;110.406658
-7.0256;110.4876
-6.983147;110.476545
-7.021498;110.406658
-7.039331;110.299925
-7.053445;110.316062
-6.9821;110.3883
-7.0866;110.3089
-6.96667;110.44228
-6.9787;110.419
-7.061;110.3862
-6.9897;110.4181
-7.0875;110.36194
-6.966314;108.501707
-7.0007;110.4039
-7.021498;110.406658
-7.021498;110.406658
-7.016225;110.422764
-7.0145;110.4233
-7.000327;110.434004
-6.9849;110.3346
-7.016527;110.371962
-6.985026;110.397946
-7.1065;110.3856
-7.01222;110.33222
-6.983;110.4192
-7.0078;110.4124
-7.0124;110.3969
-6.9847;110.4003
-7.0321;110.5048
-7.021498;110.406658
-7.073467;110.383181
-6.9653;110.4094
-7.001291;110.296774
-6.9781;110.3664
-7.0567;110.3635
-7.0352;110.4072
-7.0244;110.369
-7.023;110.4785
-6.9646;110.4247
-6.999499;110.4811
-6.9921;110.3981
-7.000743;110.393221
-6.975685;110.448941
-7.0019;110.4736
-7.07042;110.421706
-7.0382;110.3632
-7.093;110.3935
-7.0863;110.3629
-7.021498;110.406658
-7.0133;110.3923
-7.0533;110.426
-6.9664;110.4826
-6.996742;110.464407
-7.021498;110.406658
-7.021498;110.406658
-7.003316;110.469321
-7.057935;110.434907
-7.0013;110.4359
-6.980393;110.362524
-7.26444;110.42111
-6.95692;110.40409
0;0
-7.021498;110.406658
0;0
-6.952642;110.458579
-6.968;110.2995
-7.021498;110.406658
-6.9757;110.3524
-7.008095;110.432891
-7.021498;110.406658
-7.0683;110.4384
-6.9612;110.4943
-6.9973;110.457
-6.964558;110.427816
-7.021498;110.406658
-6.992016;110.436075
-7.071676;110.398233
-6.9794;110.3914
-7.16194;110.47139
-7.0216;110.4211
-6.9845;110.4041
-7.0261;110.3083
-6.9666;110.4373
-7.021498;110.406658
-7.068;110.3822
-7.021498;110.406658
-6.9693;110.4034
-7.0049;110.3703
-7.0429;110.4827
-7.044185;110.460021
-7.643299;111.054755
-7.00889;110.48961
-7.038329;110.290847
-6.9976;110.5843
-7.0598;110.3571
-6.9726;110.4096
-6.9662;110.5001
-7.021498;110.406658
-7.021498;110.406658
-7.021498;110.406658
-6.996417;110.413306
-7.021498;110.406658
-7.021498;110.406658
2.904524;101.681405
-6.9907;110.3842
-7.021498;110.406658
-6.9677;110.4195
-6.98087;110.40765
-6.972;110.4368
-7.00667;110.48861
-7.2625;110.39972
-6.9528;110.4756
-6.970147;110.319564
-6.9991;110.4269
-7.007579;110.439287
-6.984127;110.392317
-6.962059;110.4358
-7.0878;110.3672
-7.021498;110.406658
-6.967192;110.457108
-6.973996;110.421915
-7.021498;110.406658
-7.021498;110.406658
-6.9528;110.3009
-7.021498;110.406658
-6.969796;110.305877
-39.490708;176.916707
-6.9444;110.4583
-6.9483;110.4504
